"id","date","time","long","lat","depth","mag","src"
"4953","1987-12-15","09:20:50","-80.75","-1.09","63.1","4.8","ISC"
"4951","1987-12-18","02:45:32","-80.84","-1.09","33","4.5","ISC"
"4950","1987-12-19","08:26:40","-80.54","-0.68","54.3","4.9","ISC"
"4894","1989-04-29","17:01:55","-80.42","-1","118.9","4.8","ISC"
"4893","1989-05-02","00:49:37","-80.42","0.47","33","4.4","ISC"
"4880","1989-06-25","15:37:34","-79.58","1.13","15","6.3","ISC"
"4841","1990-01-21","21:31:45","-80.79","-0.64","33","4.2","USGS-NEIC"
"4831","1990-02-21","16:33:33","-80.21","0.18","61.9","4.8","ISC"
"4789","1990-08-12","00:35:20","-80.29","-0.38","39.1","4.4","ISC"
"4786","1990-09-01","23:26:50","-80.23","-0.13","14","6.2","ISC"
"4785","1990-09-02","00:07:16","-80.34","-0.15","30.7","4.9","ISC"
"4768","1990-12-08","05:39:33","-81.02","-1.99","10","3.6","ISC"
"4759","1991-01-15","02:15:52","-80.85","-1.83","33","3.6","USGS-NEIC"
"4754","1991-02-20","02:38:42","-80.73","-0.97","33","3.6","USGS-NEIC"
"4670","1991-08-04","02:45:34","-80.81","-0.89","32.1","5.4","ISC"
"4647","1991-12-15","16:43:13","-80.76","-1.46","33","4.6","ISC"
"4640","1992-03-01","07:00:26","-80.05","0.04","33","4.5","ISC"
"4606","1992-12-06","08:19:36","-81.15","-1.09","24","3.8","ISC"
"4598","1993-01-14","03:41:34","-80.82","-1.55","35.5","4.6","ISC"
"4596","1993-02-12","18:38:21","-81.05","-1.74","41.8","4.6","ISC"
"4594","1993-02-15","11:00:43","-81.26","-1.65","33","4.1","ISC"
"4579","1993-08-20","01:35:14","-80.38","-1.16","42.6","4.7","ISC"
"4557","1994-03-29","07:12:06","-80.06","0.6","3.7","3.8","IGEPN"
"4553","1994-04-15","02:29:36","-80.02","0.65","14.2","3.9","IGEPN"
"4508","1995-02-14","07:25:37","-80.57","-1.49","14.63","4.3","IGEPN"
